Smart Meter Register Map with Float AC-Meter Model,,,,,,,,,,
Start,End,Size,R/W,Function
codes,Name,Description,Type,Units,Scale Factor,Range
of values
40001,40002,2,R,0x03,SID,Well-known value. Uniquely identifies this as a SunSpec Modbus Map,uint32,,,0x53756e53 ('SunS')
Start,End,Size,R/W,Function
codes,Name,Description,Type,Units,Scale Factor,Range
of values
40003,40003,1,R,0x03,ID,Well-known value. Uniquely identifies this as a sunspec model common (1),uint16,,,1
40004,40004,1,R,0x03,L,Length of sunspec model common (1),uint16,Registers,,65
40005,40020,16,R,0x03,Mn,Smart Meter Manufacturer,string,,,e.g. "Fronius"
40021,40036,16,R,0x03,Md,Smart Meter Model,string,,,e.g. "Smart Meter 63A"
40037,40044,8,R,0x03,Opt,Smart Meter Name,string,,,e.g. "<primary>"
40045,40052,8,R,0x03,Vr,SW version of ,string,,,e.g. "2.9"
40053,40068,16,R,0x03,SN,Smart Meter Serialnumber,string,,,e.g. "18370117"
40069,40069,1,R,0x03,DA,Modbus Device Address,uint16,,,1 - 247
Start,End,Size,R/W,Function
codes,Name,Description,Type,Units,Scale Factor,Range
of values
40070,40070,1,R,0x03,ID,Well-known value. Uniquely identifies this as a sunspec model ac_meter (21x),uint16,,,211: Single Phase (AN or AB), 212: Split Single Phase (ABN), 213: WYE-Connect Three Phase (ABCN), 214: Delta-Connect Three Phase (ABC)
40071,40071,1,R,0x03,L,Length of sunspec model ac_meter (21x),uint16,Registers,,124
40072,40073,2,R,0x03,A,Total AC Current,float32,A,,
40074,40075,2,R,0x03,AphA,Phase A Current,float32,A,,
40076,40077,2,R,0x03,AphB,Phase B Current,float32,A,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40078,40079,2,R,0x03,AphC,Phase C Current,float32,A,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40080,40081,2,R,0x03,PhV,Line to Neutral AC Voltage (average of active phases),float32,V,,
40082,40083,2,R,0x03,PhVphA,Phase Voltage AN,float32,V,,
40084,40085,2,R,0x03,PhVphB,Phase Voltage BN,float32,V,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40086,40087,2,R,0x03,PhVphC,Phase Voltage CN,float32,V,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40088,40089,2,R,0x03,PPV,Line to Line AC Voltage (average of active phases),float32,V,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40090,40091,2,R,0x03,PPVphAB,Phase Voltage AB,float32,V,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40092,40093,2,R,0x03,PPVphBC,Phase Voltage BC,float32,V,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40094,40095,2,R,0x03,PPVphCA,Phase Voltage CA,float32,V,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40096,40097,2,R,0x03,Hz,Frequency,float32,Hz,,
40098,40099,2,R,0x03,W,Total Real Power,float32,W,,
40100,40101,2,R,0x03,WphA,Watts phase A,float32,W,,
40102,40103,2,R,0x03,WphB,Watts phase B,float32,W,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40104,40105,2,R,0x03,WphC,Watts phase C,float32,W,,This data-point is supported/not-supported depending on the grid connection and/or used smart meter.
40106,40107,2,R,0x03,VA,AC Apparent Power,float32,VA,,
40108,40109,2,R,0x03,VAphA,VA phase A,float32,VA,,
